rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,1,55,"111917"
2,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",1,2,36,"66752"
3,"spotify:track:3LWVXp636uLT356Rj08Jaz","Jimin","Be Mine","BIGHIT MUSIC",2,3,55,"55712"
4,"spotify:track:1dpHnn6eh4Pz55UproSdJv","madk1d","так похуй","KOALA MUSIC",2,5,20,"49701"
5,"spotify:track:5XIoRdNKbhG3uFDB0UXWuw","Icegergert, SKY RAE","Наследство","GAZ",4,4,15,"49497"
6,"spotify:track:2ECFm3wpCV2ferG86uyhu5","Baby Melo","П О Р Ш Е","А+",6,11,3,"39350"
7,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",5,7,50,"35604"
8,"spotify:track:1MC8JLPV4fbvVBqvGSLoDf","Jimin","Who (Rock Remix)","BIGHIT MUSIC",4,9,41,"35099"
9,"spotify:track:2Br49Z6ckGKdcnDGLj2L8q","ПОЛМАТЕРИ","кхм-кхм","Rhymes Music Inc.",8,8,23,"34557"
10,"spotify:track:36DnMjOyWBOZLgWYm2KWFz","madk1d, тёмный принц","ты че обиделась","KOALA MUSIC",5,6,21,"33574"
11,"spotify:track:74kalpHrS2ngqa68XFL0dS","kizaru, Icegergert","Fake ID","GAZ/Haunted family",1,15,17,"31955"
12,"spotify:track:0wxZtr4VnRtxfNx3UzdILt","Мэйби Бэйби","Силиконовый Гном","Booking RM",12,12,2,"31760"
13,"spotify:track:2bqS0QtnXGjOYs3z6VtSyW","Poshlaya Molly","Контракт","DROPBLED",8,14,182,"31144"
14,"spotify:track:4C5BDHPQuJ5K49XsAK8uq2","KRISTIEE","Dirty","KOALA MUSIC",7,36,10,"29214"
15,"spotify:track:0rqe1Pt1EGu0VDAqPupREU","Poshlaya Molly","Все хотят меня поцеловать","DROPBLED",15,17,120,"29047"
16,"spotify:track:4OjB6FkYwCeWqsSpTFF7O9","Baby Melo, FADE031","Сломана","А+/ФОРМАНТА/Monolit",8,13,26,"28658"
17,"spotify:track:5UW6yvwo3nVA609NgprdhK","Poshlaya Molly","Супермаркет","DROPBLED",10,21,118,"28629"
18,"spotify:track:7dOzvgGmCmoqGAHeoiM542","Poshlaya Molly","Ханнамонтана","DROPBLED",18,26,143,"28172"
19,"spotify:track:3pUbDaO5cBfRCZHxSCVMh8","greyrock, tewiq, madk1d","распять","rplus / РАСКАТ",11,18,21,"27408"
20,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,20,108,"27388"
21,"spotify:track:5fOPSEkOWnrIRQrJrkRJgG","MACAN, SALUKI","Запрещаю забывать","GOLDEN SOUND",7,10,3,"27301"
