rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1GkBG6kv0tDEDALIG7NR2K","Amr Diab","Baba","Sony Music Entertainment",1,1,5,"1113703"
2,"spotify:track:3ptVro4saZIK2M6J8fIoEg","Amr Diab, Orange, Jana Diab","Khatfoony","Sony Music Entertainment",1,2,6,"1058235"
3,"spotify:track:3D33hlROnv1lNCWIXIGsL2","TUL8TE","Narein","MDLBEAST Records",3,-1,1,"586613"
4,"spotify:track:1TcblBVtkEEbH0kL67kIC3","Houda","الجاي بتاعي","Sharqi Production 2025",4,6,8,"529082"
5,"spotify:track:2yGYedTBTlRtXzmlrXL4wi","Lege-Cy, Ismail Nosrat","LAW NASYANY","Takwene",2,7,10,"506055"
6,"spotify:track:10xPGi2k2sVqeUEH10iNso","مصطفي الجن و هادي الصغير - تيم الابداع","بعبع دايرتى","Mostafa El Gen",1,4,24,"502713"
7,"spotify:track:4z8uw10mjeYhZj91cpvoil","مصطفي الجن و هادي الصغير - تيم الابداع","انت هتيجى معايا - انا شغال طلبات","Mostafa El Gen",3,3,10,"490467"
8,"spotify:track:7dlcdKBhZfmK7GrMRIQJid","ZIAD ZAZA, Ismail Nosrat, Lege-Cy","WALA MEEN","Global",5,5,5,"440834"
9,"spotify:track:2UaswhFiFjhWfIBpiVSfEt","Tamer Hosny, AL SHAMI","Maleket Gamal El Kon","Tamer Hosny - Al Shami",4,8,11,"427726"
10,"spotify:track:19KmGvzh31z2wqIgQkD1HH","Essam Sasa","محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا","Essam Saasa",2,9,17,"409910"
11,"spotify:track:05z8Dj4bvVvFPgFzO09zb0","Eslam Kabonga, Figo El Dakhlawy","انا لبسي اوفر سايز","Islam Kabonga",3,10,17,"399406"
12,"spotify:track:1SxYgcaAOQm1XuEFAWQ0K3","Magdy El Zahar","اخبار اهرام الجمهوريه","Hebesha Production",12,14,7,"392007"
13,"spotify:track:3SkzvwWHhhpcELK6seDpTu","Essam Sasa","اول حاجه لما تكلمني تشيل ايدك من جيبك","Essam Saasa",8,11,9,"372899"
14,"spotify:track:6Ei2nL7KdzySKg6LbdY5Up","Eslam Kabonga","انا مش ديلار يا حكومه","Islam Kabonga",1,12,31,"372851"
15,"spotify:track:7FJ7Lnc06wTrNXkskAg0Ud","Magdy El Zahar","خابط نفسي بسلاح حامي","Hebesha Production",12,13,14,"369014"
16,"spotify:track:6Dq2DQcuQayjhTiw4jhT89","مصطفي الجن و هادي الصغير - تيم الابداع, Mostafa Elgen, Hady El Soghayar","كاتم الانفاس - محطوط تشكيل","Mostafa El Gen",1,15,32,"352675"
17,"spotify:track:41IZAYettcwnRMaS3ZewW7","Rahma Mohsen","حفلة تنكرية","Hany Mahrous T/A NJ Music Production",6,18,21,"349367"
18,"spotify:track:1VQx8TpKEv8uWQ1awwPX5f","Tommy Gun, Rally","Emshy","M —— TOWN RECORDS",3,19,32,"335315"
19,"spotify:track:73ppBd1Mc3J6JeczDvLF8E","Amr Diab","Ragea","Sony Music Entertainment",19,21,91,"321043"
20,"spotify:track:3mooblTfSeLLIkkdwfhNpk","Amr Diab","Malish Badeel","Sony Music Entertainment",3,16,5,"312435"
21,"spotify:track:6AOmVuYPC8WJN0hzZ1ODIj","TUL8TE","Heseeny","MDLBEAST Records",21,-1,1,"310378"
22,"spotify:track:6ppnpZodq0gL0s4VC8yA5s","Amr Diab","Shaif Amar","Sony Music Entertainment",15,20,5,"304561"
23,"spotify:track:0yXKYYBPxOuakAOshy1cah","Sherine","Btmanna Ansak","Sony Music Entertainment",22,23,7,"302894"
24,"spotify:track:0ZJ2vlWyCoMA52VbECDMEL","Bahaa Sultan","صحبي يا صحبي","Sony Music Entertainment",3,22,21,"298726"
25,"spotify:track:5KUBjmdPpamovUuXEit9z2","Hamza Namira","Shams W Hawa","The Basement Records",25,45,2,"298134"
26,"spotify:track:54MaPJYSZOG3SZ36dzjFC9","Amr Diab","Ebtadena","Sony Music Entertainment",11,17,5,"297763"
27,"spotify:track:2Heqj9jtxarmecKxycGSWn","Tamer Ashour","هيجيلي موجوع","Tamer Ashour",1,25,82,"294777"
28,"spotify:track:7IqxOQ0Wjb4JcsIoY5I1hF","Marwan Moussa, Lege-Cy","KALEMENY BELEL","Universal Arabic Music",4,27,14,"287711"
29,"spotify:track:01O9Ijz8tcyllso5VJ6w75","Tamer Ashour","Makrehtosh","The Basement Records",3,35,29,"282382"
30,"spotify:track:4G5MF3PpirGQEa4UNrb9KB","Wegz","ELWA3D","Raad Records",1,24,16,"274926"
31,"spotify:track:3vZ3ngEbunTiK4fOVKyzYD","Saint Levant, Marwan Moussa","KALAMANTINA / كلمنتينا","Saint Levant",22,26,19,"272758"
32,"spotify:track:3cAy5RMw6iT1Nxit3Z3Q9b","Shehab","مرزمن","Shehab",19,31,55,"271467"
33,"spotify:track:6bT6tu7R9BaAZHAHTebbFM","Essam Sasa","ولاد الشمس","Sony Music Entertainment",4,28,23,"270159"
34,"spotify:track:0nHYCn2olPodsflSaKiDt3","TUL8TE","Habeeby Da","MDLBEAST Records",34,-1,1,"269202"
35,"spotify:track:5kdlxZ5skOYY3VK8RlfEIZ","Wegz","البخت","Takwene",1,39,180,"268327"
36,"spotify:track:3tfiVsnpCzewE8rPpsRIL6","Shehab","عالعموم","Shehab",1,30,76,"258059"
37,"spotify:track:5cz3es7rW97wnOtljlR9oW","Tamer Hosny, El Waili, Karim Osama","هو ده بقى!!؟","Warner Music Middle East",37,55,3,"254546"
38,"spotify:track:2fKk4N1SQTJdhOq4xjoHlo","مسلم","الدنيا ملبشه","The Basement Records",38,62,3,"252329"
39,"spotify:track:6TYFcqqQVQPb3YsgfRhvqs","Amr Diab","Tamally Maak","Global",39,41,331,"250272"
40,"spotify:track:0D42n56xXQz7Evg8eyhVdo","Shehab, DJ Totti","ستاموني","Shehab",4,34,40,"249932"
41,"spotify:track:3hUgQDPnuNbmVFITUGVEqK","Essam Sasa","رجع القائد رجع الفائد - اهلا بيكو رجعت ارازيكو","Essam Saasa",12,29,10,"241004"
42,"spotify:track:4vIbws1xp082bv0zl8vLaJ","Cairokee","Basrah w Atooh","Cairokee-Roma",4,33,150,"239675"
43,"spotify:track:58DJLmUMbOlUCwv7XNaIKP","Ahmed Saad","مكسرات","Ahmed Saad",43,71,3,"238909"
44,"spotify:track:04D5KuZipPeHYZF61sG4Mj","Mond","Yazmeely","Muhab",2,37,106,"238279"
45,"spotify:track:0WqqQ8uHKDbkPbo2ASI9U6","Karim Osama","Kadaba","Karim Osama",4,38,25,"235856"
46,"spotify:track:6AvhXZErJVyLcTPGWyriJr","Muslim - مُسلِم","Etabelna","Global",10,51,63,"230431"
47,"spotify:track:0z7T5qNnbWZ4zDL0vNWXlO","Amr Diab","Awel Kol Haga","Sony Music Entertainment",35,44,24,"229824"
48,"spotify:track:0f6mbUINoA8RSa3i1Hxaj8","Amr Diab","Mate'laash","Sony Music Entertainment",17,32,5,"229644"
49,"spotify:track:6EBKXT2EYYX4f0hqJCuDT0","Tamer Ashour","Ghebet El Habayeb","The Basement Records",18,54,29,"228261"
50,"spotify:track:50a2GGMcmDCMKTo73OppNW","Ramy Sabry","Seket Leh","Egypt Linx",11,42,60,"227382"
51,"spotify:track:7dJquFdunElI5hwj8HVnZ6","Essam Sasa","فى زنزانتى يانفسي تعبتى واتهانتى","Essam Saasa",5,43,19,"224418"
52,"spotify:track:5BiSAqXhrMRoxvDd34vBXT","Ramy Sabry","لما بيوحشني","Ramy Sabry",13,50,118,"221365"
