rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",1,1,12,"546723"
2,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",2,2,7,"290435"
3,"spotify:track:1ecwz9dDB8YkpMip6h6Dxp","Keung To","On a SunnyDay","Music Nation Records Co Ltd.",1,4,15,"256872"
4,"spotify:track:3ufV4RrrwubU5qKQqWb977","Anson Lo 盧瀚霆","你都有今日","Music Nation Records Co Ltd.",2,5,11,"255795"
5,"spotify:track:1jQp4mCBDmXr8NMqsMpH8E","Gareth.T","用背脊唱情歌","WM Hong Kong",2,3,9,"239338"
6,"spotify:track:3RSo9nydGrGTIRz4WKhE66","Keung To","白果","Music Nation Records Co Ltd.",1,6,31,"233383"
7,"spotify:track:31DFL3AiVPjGUAnSlEHTyK","Keung To","I Need You In My Li(f)e (ViuTV劇集 「無用的謊言」主題曲)","Music Nation Records Co Ltd.",2,7,34,"217934"
8,"spotify:track:1jQE96DjtfpWGjSqK6Gfnr","Keung To","好得太過份","Music Nation Records Co Ltd.",1,9,67,"206301"
9,"spotify:track:4oIwqUDqcKyF8M5bmFY8Ax","Anson Lo 盧瀚霆","Heartbreaker","Music Nation Records Co Ltd.",1,10,23,"205861"
10,"spotify:track:50zAEIE4B1QqhPjRMK2Xmh","Jin","Running Wild","BIGHIT MUSIC",1,11,38,"199905"
11,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",3,12,36,"180490"
12,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",3,8,4,"174050"
13,"spotify:track:1Y6JqAA9wRlgVMLpDnASah","Keung To","Every Single Time","Music Nation Records Co Ltd.",1,13,53,"168984"
14,"spotify:track:4pJWCkQnPeXfDyqouuBJ77","Anson Lo 盧瀚霆","Hey Hey OK!","Music Nation Records Co Ltd.",1,15,56,"145022"
15,"spotify:track:4Yr6otFebxk170q2TbpEbS","MC 張天賦","東邪","WM Hong Kong",11,14,4,"139220"
16,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",14,16,7,"125812"
17,"spotify:track:60DcGRqdHMk9H3sat9bcHW","Keung To","黑月","Music Nation Records Co. Ltd.",1,17,82,"123584"
18,"spotify:track:0FgvyfBRIWBwYaoAKaotHO","Anson Lo 盧瀚霆","致我","Music Nation Records Co. Ltd.",6,18,42,"121628"
19,"spotify:track:1I37Zz2g3hk9eWxaNkj031","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Your Idol","K-Pop Demon Hunters",19,19,7,"110391"
20,"spotify:track:02BcXEH1zJYbXSabPtNlKf","Don Toliver, Doja Cat, F1 The Album","Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Atlantic Records",19,20,6,"99590"
21,"spotify:track:0OKWgqGKyCsJqvOWWMtKcc","陳卓賢 Ian","樹會流眼淚","Music Nation Records Co. Ltd.",13,21,9,"95708"
22,"spotify:track:5DxDLsW6PsLz5gkwC7Mk5S","Rumi, Jinu, EJAE, Andrew Choi, KPop Demon Hunters Cast","Free","K-Pop Demon Hunters",22,26,6,"95055"
23,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",22,22,6,"94562"
24,"spotify:track:5sBDrrtLGbV64QJnEqfjer","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","What It Sounds Like","K-Pop Demon Hunters",24,27,6,"94381"
25,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",22,23,4,"93420"
26,"spotify:track:6Wobsw9uZ0D0xkfOjxXSq9","ROSÉ, F1 The Album","Messy (From F1® The Movie)","Atlantic Records",12,24,13,"91026"
27,"spotify:track:3SRtsmJwnR6rFnRauWV6ne","MC 張天賦","說謊者","WM Hong Kong",1,25,32,"88662"
28,"spotify:track:5GNtunR5AJb8bVoovm8vnz","Anson Lo 盧瀚霆","MY LIFE","Music Nation Records Co Ltd.",4,31,83,"87913"
29,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","OA Entertainment/Columbia",3,28,22,"83678"
30,"spotify:track:1ZrnCyms7CBYsCvkkVIkt8","MC 張天賦","記憶棉","WM Hong Kong",1,44,198,"81005"
31,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,30,42,"80772"
32,"spotify:track:1sb71AvysPMJlsx4qYtTpG","Gareth.T","緊急聯絡人","WM Hong Kong",4,32,88,"79438"
33,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",5,36,51,"78170"
34,"spotify:track:0MHStU0muAIEMbwdnebYu2","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Takedown","K-Pop Demon Hunters",34,34,6,"76658"
35,"spotify:track:2SsY5k7UWFqgye3PUMG3Oq","Chappell Roan","The Subway","Chappell Roan PS/ Island",35,-1,1,"75301"
36,"spotify:track:0FTmksd2dxiE5e3rWyJXs6","sombr","back to friends","Warner Records",36,43,16,"74215"
37,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",11,40,64,"70632"
38,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",19,42,7,"69995"
39,"spotify:track:1XZE0InCx3SdCnLpVsPpZl","LBI利比","Jumping Machine (跳楼机)","Sony Music Entertainment",11,39,26,"68273"
40,"spotify:track:64DtUTH1ZtBURnXIDzBzx1","MC 張天賦","懷疑人生","WM Hong Kong",5,35,19,"67971"
41,"spotify:track:0h7QMc9ZRzA9QJrbEHytn2","Jin","The Astronaut","BIGHIT MUSIC",19,55,114,"67824"
42,"spotify:track:4ja627NyIBCz7wO2dYr83g","Keung To","岩巉","Music Nation Records Co Ltd.",1,46,89,"66718"
43,"spotify:track:2yWlGEgEfPot0lv3OAjuG3","Tate McRae, F1 The Album","Just Keep Watching (From F1® The Movie)","Atlantic Records",29,33,10,"66550"
44,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,48,108,"65163"
45,"spotify:track:44FUMcOGhsXw79mwOTS6vr","moon tang","夜闌人靜","WM Hong Kong",23,57,21,"64165"
46,"spotify:track:37Kfx2XMj4lPteclYtrEnU","Gareth.T","你都不知道 自己有多好","WM Hong Kong",29,45,21,"62236"
47,"spotify:track:19GxfaRs5KdurzPKLVX3Cq","TWICE","TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)","Republic Records - TWICE",47,51,6,"61994"
48,"spotify:track:18AMT576rBlQFMzUTS7WBa","TWICE","THIS IS FOR","Republic Records - TWICE",18,38,4,"61867"
49,"spotify:track:2gQoBhLuUmJqelyTrZfkKD","陳卓賢 Ian","以孤獨命名","Music Nation Records Co. Ltd.",4,47,58,"61404"
50,"spotify:track:65TyCkIJtF8hDF599vCXwe","Kaho Hung","黑玻璃","WM Hong Kong",7,66,83,"61394"
51,"spotify:track:4kIuEUKjGdEcNXf7RxsByr","Kiri T","哀傷和愛上算不算同音字","WM Hong Kong",17,50,15,"61054"
52,"spotify:track:1ic3Thr0mG0IsBE98pPcQ2","aespa","Dirty Work","aespa",11,56,6,"60653"
53,"spotify:track:2SR0alFA2oWYXSoePGTj0V","Jin","I’ll Be There","BIGHIT MUSIC",6,64,32,"59878"
54,"spotify:track:3be9ACTxtcL6Zm4vJRUiPG","yung kai","blue","BMG Rights Management (US) LLC",17,53,36,"59586"
55,"spotify:track:3x2hKSUf8O8IqI1shmxGnp","MC 張天賦","老派約會之必要","WM Hong Kong",1,90,160,"59431"
56,"spotify:track:2oOemghuOplk25PORF4s39","Kiri T","至少做一件離譜的事","WM Hong Kong",8,52,72,"58921"
57,"spotify:track:4H6s1mTZcjHAMU36ZF3Xoz","Jin","Nothing Without Your Love","BIGHIT MUSIC",33,71,12,"58656"
58,"spotify:track:4WrkJNGb4zUwARc0FD3iNf","Jin, YENA","Loser (feat. YENA)","BIGHIT MUSIC",36,70,12,"57958"
59,"spotify:track:40UVUuyy5RfpO0awclCttA","ALLDAY PROJECT","FAMOUS","THEBLACKLABEL",31,54,6,"57699"
60,"spotify:track:7Cnpb1vBbC46RgVyyKLH7p","aespa","Whiplash","aespa",8,58,42,"57434"
61,"spotify:track:5566hAPt0WmMPr9Xn749L7","Jin","Rope It","BIGHIT MUSIC",39,77,12,"57409"
62,"spotify:track:5RdKO1lsHG9jhbG03LL7cv","Jin","With the Clouds","BIGHIT MUSIC",38,79,12,"57108"
