rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2bT6QX29M7GLSuTDSirwaS","ANNA","DÉSOLÉE","Universal Music Italia srL.",1,1,8,"2349577"
2,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,2,18,"2251541"
3,"spotify:track:6zjlQ39iHKMaPcY9Fz4d9e","Samurai Jay, Vito Salamanca","Halo","Universal Music Italia srL.",3,7,4,"2099602"
4,"spotify:track:4Cd1cCCqG3nlf07i5A0IPH","Elodie, Sfera Ebbasta, Rvssian","Yakuza","Universal Music Italia srL.",3,3,6,"2053048"
5,"spotify:track:7oJtUqvumujVKarcXa1SPj","Alfa, Manu Chao","A me mi piace","Radio Bemba",2,4,13,"1974306"
6,"spotify:track:18phYWPlfxvF9jmUVwkb4c","Serena Brancale, Alessandra Amoroso","SERENATA","Warner Music",4,6,10,"1865691"
7,"spotify:track:0jkAr7eZsvWDLYiQCfaxak","Sfera Ebbasta, Shiva","NEON","Universal Music Italia srL.",1,8,17,"1622273"
8,"spotify:track:1z9adRe4kaugMq3E8HX3c6","Sadturs, KIID, Ghali, Shiva","MANESKIN (feat. Ghali, Shiva)","Warner Music",5,5,2,"1481865"
9,"spotify:track:5wpNF7XLTW4gLyU0NjVOL8","Pinguini Tattici Nucleari, Max Pezzali","Bottiglie Vuote (feat. Max Pezzali)","Epic",6,9,17,"1427355"
10,"spotify:track:23iWOv9jw8F5zEe550CZa0","Fabri Fibra, Tredici Pietro","Che Gusto C'è (feat. Tredici Pietro)","Epic",6,11,11,"1423654"
11,"spotify:track:7vc09IDmFH0MfyPYHPEWRM","Achille Lauro","AMOR","Warner Music",6,18,16,"1398281"
12,"spotify:track:27teXnNekA5jBFLCcsCFoq","Artie 5ive","7ELEVEN","Warner Music",12,12,3,"1301512"
13,"spotify:track:5OUW8dccdPD4bAmQHXa4Dy","Le-one","YAMAL","Epic",13,24,3,"1264876"
14,"spotify:track:5bhYjElbPmm2FyB0PxP8Wd","Luchè","Nessuna","Warner Music",2,14,12,"1264014"
15,"spotify:track:1gIahX2xZu1ir2qLmALtUc","Annalisa","Maschio","Warner Music",12,15,13,"1232767"
