rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",1,1,18,"120659"
2,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",2,2,27,"112349"
3,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",1,3,70,"104578"
4,"spotify:track:5WFEeDclrtcviUwnbpHiiF","Sabah Mahmod","عفتني","Al-Haneen",1,4,45,"99032"
5,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",3,5,56,"97113"
6,"spotify:track:6AOmVuYPC8WJN0hzZ1ODIj","TUL8TE","Heseeny","MDLBEAST Records",6,6,4,"96618"
7,"spotify:track:1M4OcYkxAtu3ErzSgDEfoi","Cardi B","Up","Atlantic Records",7,-1,26,"96604"
8,"spotify:track:2fuYa3Lx06QQJAm0MjztKr","Radiohead","Let Down","XL Recordings",8,10,22,"76830"
9,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",1,8,70,"76015"
10,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",10,12,13,"73123"
11,"spotify:track:3zlKK9XIKHfKgNE1NDTw65","Fadel Chaker","Sahak Isho2","Fadel Chaker",7,7,3,"71630"
12,"spotify:track:1E73FAX1FA1U1BNU71eZmh","سجاد حقي","الك الك گلبي يحن","AYA L.L.C",2,9,25,"69573"
13,"spotify:track:3MyX3ndru7RTKvLkMZJJeJ","Sabah Mahmod","ميت اني","Al Haneen",9,19,70,"65312"
14,"spotify:track:5okjGjbI5S9GON1fM0delO","Hassan El Rassam","Alak Alak","Sada El Remas",2,14,49,"63518"
15,"spotify:track:6skGMlljk0s5yeBKZ7sN5n","James Arthur","Impossible","Syco Music",3,13,59,"63262"
16,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",8,11,12,"63242"
17,"spotify:track:3DBLrqr306UI8Lp7Z48n64","Klash","Drb Almahalik","Sarat Productions",6,16,70,"59520"
18,"spotify:track:2yO2XFeewgC5j5wPTZZ5ha","Mohamed AlSalim","اعوف الدنيا","Mohamed Alsalim",18,31,17,"59318"
19,"spotify:track:2Gs0iF27my40p0dANv2rAg","MXZI, Dj Samir, DJ Javi26","MONTAGEM XONADA","Lunar Media",13,17,10,"59117"
20,"spotify:track:3p4hRhMcb6ch8OLtATMaLw","Cigarettes After Sex","Cry","Partisan Records",15,20,170,"58746"
21,"spotify:track:4ahP7eXPoreEVMEh5IpOHh","Ahmad Alsultan","Law Sabrah","Al Haneen",21,22,33,"58494"
22,"spotify:track:36TUr6VZP0a9FE46jjve7O","علوش","وين وين كحيل العين","Tarab Tunes",9,15,10,"57539"
