rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",1,1,97,"2673074"
2,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,2,55,"1945357"
3,"spotify:track:63oA4hG0SqvsUFfaEhgqVX","BLVCKHEART","อยากจะกอดเธอนาน ๆ (HAVE A GOOD TIME)","BLVCKHEART",1,3,8,"1729387"
4,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",1,4,12,"1435522"
5,"spotify:track:2wyjOiDh07ISNq0oq69G4e","YOUNGOHM","นครดารา","Youngohm",2,5,25,"1406946"
6,"spotify:track:3xyNRloMm2i6sNAlnnxLFA","YOUNGOHM","เจิดจรัส","Youngohm",4,8,12,"1400938"
7,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",1,17,36,"1321118"
8,"spotify:track:6vn8nzgxByxZDKLmIKYAkn","BOWKYLION, NONT TANONT","ที่คั่นหนังสือ (Sometimes)","What The Duck",5,6,15,"1249645"
9,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,9,108,"1185278"
10,"spotify:track:6Mm77XGJld1QxvKyMrYbFj","BLVCKHEART, K6Y","One Of My Life","Blackheart",8,10,27,"1154547"
11,"spotify:track:63j1HWrXmSk1zK7IZYQepo","TEN","STUNNER","SM Entertainment",1,7,20,"1116757"
12,"spotify:track:5b2OC2aaioNReqHlQs1TbR","2Ectasy, Z9","Faded - Special Version","Saucebangkok",8,11,17,"1045729"
13,"spotify:track:0gpFtSxhDc1gC7kYJ927fJ","Z9","บทสรุปสุดท้าย","Z9",2,14,20,"990049"
14,"spotify:track:5kMl8givhqRWmrDTKauySB","P6ICK, SURIYA MQT","1 OF 1","P6ICK",14,15,3,"966332"
15,"spotify:track:4JVHa8eTUOEN0zS1zrA2j5","YOUNGOHM, GAVIN:D","เรื่องราวความรักในตำนาน","Already Deadd",10,12,98,"961879"
16,"spotify:track:4wlmpwdyng4B4bObMnP3OS","Z9, The BESTS","Like Damn","Z9",13,13,4,"872849"
17,"spotify:track:2a78JDp7YVCyEydtRiHOn7","PUN","I Just Wanna Know","Universal Music (Thailand) Ltd.",12,16,47,"768538"
18,"spotify:track:6i03vhoaUZxi3MfICeF3s9","JayQ, 7Vibes","Hurry up!","JayQ",11,37,17,"756102"
19,"spotify:track:65ZihkVQO3KqPj7ZKxmcev","LISA","Rockstar","Lloud Co./RCA Records",1,18,57,"751818"
20,"spotify:track:4KZRjuldIGTS7AQUPbUvbs","PUN","ที่เดิม","Universal Music (Thailand) Ltd.",15,20,46,"730100"
21,"spotify:track:3wpyleeYFfRIiYByecGeUW","PUN, 1MILL","Perfect","Universal Music (Thailand) Ltd.",21,26,3,"728171"
22,"spotify:track:0VOIQcLeVfauNE0uwmIWD6","T!NE","ฉันจะรีบบอกรักเธอ","T!NE",22,22,15,"721979"
23,"spotify:track:0Vx23Np7HAjaQIttqOAUPR","LITTLE JOHN","ที่ผ่านมาขอบใจจริงๆ","9 Arkkhan",13,21,19,"702441"
24,"spotify:track:24wXz2WuaF02y0mrKNPMsN","Saran, Z9, SIMON","รออยู่อย่างนั้น","SARAN",15,30,27,"682166"
25,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",25,34,6,"666413"
26,"spotify:track:6kUGR3mPqLwcnobMQA557r","Jigsaw Story, MONICA","จักรวาลไหน (feat. MONICA)","GMM Music Public Company Limited",26,35,6,"660231"
27,"spotify:track:4XaJuCQuIPM4Xz8O6csrdZ","BOWKYLION","วิงวอน (ex-change)","What The Duck",18,19,37,"657354"
28,"spotify:track:7KNmIjcmGJIBrhP2s5Vioe","LISA, Doja Cat, RAYE","Born Again (feat. Doja Cat & RAYE)","Lloud Co./RCA Records",1,27,26,"651281"
29,"spotify:track:3PRRNMQUjnFbZhvtPd37F3","Cocktail, พงศ์ พัทลุง, ปู่จ๋าน ลองไมค์, Lamyai Haitongkam","คนจริงใจ (feat. พงศ์ พัทลุง, ปู่จ๋าน ลองไมค์ & Lamyai Haitongkam)","GMM Music Public Company Limited",29,58,4,"643760"
30,"spotify:track:4MEn5CNtwf4VVEfmZVcpTC","Only Monday","ทิ้งไป","GMM Music Public Company Limited",7,29,36,"629724"
31,"spotify:track:1uFvvFnus5WZFizuRH02Q0","F.HERO, Kantong Tungngern, Saran","กุหลาบ","F.HERO",3,33,25,"623599"
32,"spotify:track:4ZU069vAYkr7soRzdzNdjF","YOUNGOHM","ไฟเย็น","Already Deadd",28,31,157,"619504"
33,"spotify:track:2AdBbeVaEdW731a3FXJAJC","Lipta, Mirrr","อยู่ได้แล้ว","Lipta",8,36,53,"614448"
34,"spotify:track:4kvBebTWC2UmFevtoG0BXy","Only Monday","จดจำ","GMM Music Public Company Limited",14,32,80,"598359"
35,"spotify:track:6SNwxbDxjzzN2VO3k6pXdR","Ink Waruntorn","สักวันฉันจะหายดี","Boxx Music",9,40,26,"585886"
36,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",4,25,4,"574691"
37,"spotify:track:7pvu8UPXXIex1bChP4yyiS","Tilly Birds, Polycat","ล้มแชมป์ (Only You Can)","GMM Music Public Company Limited",8,23,30,"568176"
38,"spotify:track:0L5mkLRkk05Mfz4Tk0zU70","เล็ก รัชเมศฐ์","โลกทั้งใบ","GMM Music Public Company Limited",38,111,4,"549533"
39,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",7,38,63,"542326"
40,"spotify:track:4jyfcb5s4H3hKl0CJXjYei","fellow fellow","Proud","Kicks Records",8,42,56,"536625"
41,"spotify:track:1RIcNj56JKuH0WB9AyNARB","SPF","9 นาฬิกา","Mono Music",41,53,81,"534161"
42,"spotify:track:6fON5gco8TNy1di0oBUr1Y","DIAMOND MQT","Victoria's Secret","DIAMOND MQT",42,48,41,"530116"
43,"spotify:track:4WqM7sGHLOdZasaunLPzLG","Only Monday, ปั๊บ Potato","ยอมอยู่แล้ว (feat. ปั๊บ Potato)","GMM Music Public Company Limited",30,43,15,"527726"
44,"spotify:track:0UlTAkFyXcBBs1HjtICAsD","guncharlie","เผื่อวันไหนเธอจะกลับมา","Kicks Records",9,41,73,"526684"
45,"spotify:track:6QdPlI3flfUFMy4JNpsWcG","LITTLE JOHN","สุดแต่ใจจะไขว่คว้า","9 Arkkhan",14,52,28,"525952"
