rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1o1y0rEQzj9HyB7grfQyl8","Poizi, Murat Boz","YAPAR MISIN?","ZUNA",1,2,2,"6611784"
2,"spotify:track:0DDTcst1ymDkTla649Mu0H","Norm Ender, Ebru Gündeş","Bir Çift Göz","Norm Müzik Medya",1,1,6,"5535020"
3,"spotify:track:3JTphuwOWcI28J2vS4gMmI","Sefo, Demet Akalın","Yerinde Dur","3TR6AP2",1,3,6,"4737619"
4,"spotify:track:1RwVkonL4anIGeNZo0OPp1","BLOK3","git","Mundo Music",4,4,3,"4732458"
5,"spotify:track:4PA0CfHSeg5yYx7PCyGeMb","BLOK3","napıyosun mesela ?","Mundo Music",5,7,3,"3765882"
6,"spotify:track:1YrEoI9Cn6pmCXuiUGQ0Kf","Era7capone, Poizi, SNOW","SONBAHAR","ZUNA",1,6,10,"3464844"
7,"spotify:track:00Yab3ZoSz1nfy6iyGPJOG","Afra, Sefo","Aşiyan","Mahzen Media",2,5,5,"3181488"
8,"spotify:track:28TeosAOQZvsftj5ZxucaX","Lvbel C5, AKDO","TAK TAK TAK","Warner Music Turkey",8,-1,1,"3143707"
9,"spotify:track:4j2rg6pHWZJVpJy1AwRpdl","manifest","Yaşanacaksa","Hypers",2,8,8,"3138000"
10,"spotify:track:6oZ8BPQSQog7Q3LPUVgxCr","Çağla, Doğu Swag","Seni Düşündüm","Eva Records",10,59,2,"2867682"
11,"spotify:track:2mW1SMo4VbI2MFCTKOBZ6W","manifest","Snap","Hypers",4,14,10,"2658131"
12,"spotify:track:4J49WukjRkDHgnqLdwRy8Z","Lvbel C5, AKDO","dubaiiiiii","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",10,10,3,"2652169"
13,"spotify:track:1Ka5a3r3oYJzCfXl5Uq2CA","M Lisa","SALINA SALINA","RAPKOLOGY x TİİZZ RECORDS",9,9,4,"2625652"
14,"spotify:track:3ff93VTp2DBbNnDEsAW8Cm","BLOK3","SEVMEYİ DENEMEDİN","Mundo Music",1,11,47,"2527226"
15,"spotify:track:2ciOT2HoX5rjkARUQiO0P6","Semicenk","Kalpsiz","Eva Yapım & Eva Records",2,13,8,"2446316"
16,"spotify:track:2nmoY1LP8PBiOzJlYZzMAe","MERO","Uçurum","URBAN",16,17,2,"2430179"
17,"spotify:track:2RlpOjMTH17Gf0F0AM40Lw","Zeynep Bastık","Kör Sevdam","Hypers",6,24,11,"2322000"
18,"spotify:track:6wW7ZgvYwgOKCRLeqYEM6y","Kenan Doğulu","Ara Beni Lütfen","Doğulu Music",11,12,16,"2226719"
19,"spotify:track:0rFE7maWOD4JFeG1wukeiB","manifest","KTS","Hypers",6,20,12,"2224427"
20,"spotify:track:1horGWxHKfwctCKdHwrO0n","BLOK3, Ati242","Keşke","Lais Records",1,19,19,"2118832"
21,"spotify:track:4UzAPluTbjdlyyhfE00REO","Lvbel C5, AKDO","MERMER","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",5,22,10,"2065988"
22,"spotify:track:5uh8vQEAZeIFEYhAg52BNS","Rıza Tamer","Benden Sonra","DMC",3,15,19,"2048065"
23,"spotify:track:6FGbxOWr2PhOHd6N06nafP","manifest, Arem Ozguc, Arman Aydin","Manifest","Hypers",22,26,8,"2007758"
