rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,2,24,"208760"
2,"spotify:track:6X8DTIJEgHUjZynuds0E2f","Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES","Tu jardín con enanitos","Sony Music Uruguay",1,1,11,"199746"
3,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",3,3,8,"192161"
4,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",4,5,12,"133390"
5,"spotify:track:4ksf1UdqNc9pU8R4ZZrgdY","Miranda!","Tu Misterioso Alguien","Pelo Music",4,4,3,"123685"
6,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",2,6,33,"116600"
7,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",7,12,8,"106461"
8,"spotify:track:5IgmWwbNUeZzvYrODLletR","Max Carra","UWAIE - versión cumbia","Max Carra",8,8,36,"105853"
9,"spotify:track:6WJ2QzbVnjmPGKpmb6tmmO","La T y La M","amor de veraNO","Sony Music Uruguay",8,9,12,"100761"
10,"spotify:track:4OsBqqMwFabHATATT527tH","Myke Towers, Quevedo","SOLEAO","WEA Latina",4,7,10,"98207"
11,"spotify:track:2iDDnYmaz1HhedjI91fbmp","DENNIS, Luísa Sonza, Emilia","MOTINHA 2.0 (Mete Marcha) - Remix","Sony Music Entertainment Brasil / 5020 Records",4,10,15,"93895"
12,"spotify:track:5MKbWaXeSQSmzmo7gPQha1","La T y La M, Malandro","Amor de Vago","GraceMusic",1,14,47,"93700"
13,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",9,11,32,"91334"
14,"spotify:track:4RAZ4K0gvNfFGc4KpVcrVX","LA NUEVA ESCUELA","Se Me Olvida / Empelotica","Montevideo Music Group",1,16,38,"87840"
15,"spotify:track:6wDig9zSE2qpDbw1W3qqIX","FMK, Emilia, Nicki Nicole, Tiago PZK","MASNA REMIX","Sony Music Entertainment Chile S.A",9,15,9,"79737"
16,"spotify:track:1KaXG7dVdwMH3gCtiAU39t","Emilia, TINI, Nicki Nicole","blackout 🧊","Sony Music Latin",2,24,20,"77016"
17,"spotify:track:3YcNehpEP1edJwVwsLfkbr","LA NUEVA ESCUELA, Callejero Fino","Embustera","Montevideo Music Group",17,19,21,"76976"
18,"spotify:track:0DMJz677XfXiiruhIELu2e","Jombriel, DFZM, Jøtta","VITAMINA","WEA Latina",4,13,22,"73329"
19,"spotify:track:7dCGkDZgWIDSZyxInMkdIv","Mattei","Pa las girlas","WEA Latina",4,21,18,"72785"
20,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",20,29,10,"72108"
21,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",7,20,31,"71736"
22,"spotify:track:0vcuJjViqrFCCWUrjrZW1X","Maria Becerra, Paulo Londra, XROSS","RAMEN PARA DOS","WEA Latina",2,22,13,"71391"
23,"spotify:track:0PXMe1jhIjvIdJ7aBmnsNf","Emilia, Luísa Sonza","bunda 🍑","Sony Music Latin",1,17,24,"70292"
24,"spotify:track:2F6PBqz7aPA7K309aFKMHt","Cazzu","Con Otra","DALE PLAY Records / RIMAS Entertainment LLC",10,25,20,"67974"
25,"spotify:track:2XbsqBrOdYjm0OLBEepID7","TINI, Beéle","Universidad","5020 Records",6,26,7,"63781"
26,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",3,28,31,"62763"
27,"spotify:track:31we7ZzWdSBEOKs5Ln6QVF","De La Rose, Omar Courtz","NUBES","WEA Latina",12,39,18,"61235"
28,"spotify:track:1KfiYYMCZkP7no8DdkXFDl","Tobal Mj, Lucky Brown, Nacho G Flow","Tiene","Stars Music Chile 2024",24,38,22,"60170"
29,"spotify:track:6MuJUSYCqA4FpMogUHzb2R","No Te Va Gustar","Ese Maldito Momento","Elefante Blanco",26,33,164,"59248"
30,"spotify:track:4C1GR4t5ZVMtmbnLgKukgG","The La Planta, La Penúltima","Cosas Pendientes","TLP Records",14,32,18,"58125"
31,"spotify:track:7JKptWv4YXmievid0HajID","Luck Ra, KHEA","HOLA PERDIDA","Sony Music Entertainment Chile S.A",1,91,83,"57976"
32,"spotify:track:44m9PAUZYeOEGeaTYh6NAl","No Te Va Gustar, Juan Casanova","Tan Lejos","Elefante Blanco",29,34,272,"57230"
33,"spotify:track:66EoJdYZiJkuQGXRCwZwfx","La Penúltima","Mariposas","LeaPercu7",27,35,49,"57117"
34,"spotify:track:3bAAv8knmzFpYQsLFoK6de","Quevedo","TUCHAT","Quevedo",19,23,5,"55808"
35,"spotify:track:0c27qjzqEgMLMnWTl5bCU8","benjitalkapone","Mambinho Brasileño","Nextlevel music",35,77,6,"55651"
36,"spotify:track:61qPUnazSdkvua4wgA4L8C","Babasonicos","Como Eran Las Cosas","Universal Music Argentina S.A.",30,30,33,"54958"
37,"spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,40,165,"54044"
38,"spotify:track:0CgpCtEPvyDizcg2p47VrU","No Te Va Gustar","A las Nueve","Elefante Blanco",31,36,315,"53315"
39,"spotify:track:7eNwwoxDR8KVzNAuGvliAO","Omar Courtz, De La Rose, Haze","Kyoto","House of Haze",13,47,58,"52165"
40,"spotify:track:0STW8nw4lNN4TEQ8KmNer6","Jombriel, Alex Krack, Jøtta","Parte & Choke","WEA Latina",1,69,37,"51954"
41,"spotify:track:2QP041AcWg8PwPIWP95RKN","Beéle","top diesel","5020 Records",39,41,9,"51656"
42,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",23,42,36,"50590"
43,"spotify:track:36x1AGih4bK9cnPjbbChgG","Lali, Miranda!","MEJOR QUE VOS","Sony Music Argentina",37,37,20,"49936"
44,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",44,67,4,"49578"
45,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",44,44,11,"49483"
46,"spotify:track:5jX8y3uTztypaMgOinxYMw","Emilia, Six Sex","pasarella 👠","Sony Music Latin",29,45,5,"49113"
47,"spotify:track:2Syg7oH4lJ2yG2pE7QCcIv","Emilia","perfectas","Sony Music Latin",47,-1,1,"48303"
48,"spotify:track:5vHWh24GAsXJ7tnIu8v7UN","Airbag","Por Mil Noches","DALE PLAY Records / Airbag",31,31,221,"48024"
49,"spotify:track:45KU6ofyCrBrKoVWblDscc","Lucas Sugo, La Penúltima","Prende La Radio","Sentimientos Music",38,49,20,"42899"
50,"spotify:track:0AXKoQuC2NQ8S2QRF0Gu02","Plan B","Fronteo","Pina Records",18,18,7,"42661"
51,"spotify:track:6il9B9hrZPNpXei57XM1Sv","Max Carra, Lira","VIAJEMOS EN EL TIEMPO #1 | Quien Te Quiere Como Yo","Espantapájaros Music",17,27,8,"42316"
52,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",10,71,186,"40585"
53,"spotify:track:1kEoU9Dmivr2JoOf7ramyT","El Cuarteto De Nos","No llora","WM Argentina",53,123,105,"40379"
54,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",4,48,31,"40121"
55,"spotify:track:76lXtXJP6VqX6r9Ks3AUy0","Peipper, DobleP, Locura Mix","Si Las Gatas Se Amotinan","SUPERNOVAS MUSIC",17,68,36,"38885"
56,"spotify:track:5Z3yxelFt8SBkk7Fijf1bg","La Bocha 12, Maxi Alvarez, ONE PLAY","Tu Silueta","One Play Network",52,98,47,"38712"
57,"spotify:track:6JAaPxRPeElmUGPqyIkhCS","RAMKY EN LOS CONTROLES, The La Planta","FINGI DEMENCIA","1.8M",20,59,30,"38673"
58,"spotify:track:0N361WhEqVunVl5ZBkfd70","Árbol","El Fantasma","Surco",51,53,112,"38585"
59,"spotify:track:2BvPMS2XWfnCpHHvWeOyeC","Mora","DETRÁS DE TU ALMA","Rimas Entertainment LLC.",52,81,11,"38478"
