rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,108,"2038438"
2,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,2,97,"923321"
3,"spotify:track:3ET3xHCLMGd57u06A9RjJ0","Ronboogz","Nói Dối","MaiDao Music",3,7,92,"604499"
4,"spotify:track:1enwoOU8CFAp9D3TY475sh","(S)TRONG","Kho Báu","M Music Records",4,38,3,"585746"
5,"spotify:track:1DVYafsLmcQySKkJnY4RCs","MAYDAYs, Minh Tốc & Lam","Phép Màu - Đàn Cá Gỗ Original Soundtrack","Universal Music Indochina Distributed Labels",2,5,23,"568450"
6,"spotify:track:6Zoi4ue74UdUeYmHXItXnf","B Ray, V#","Vùng An Toàn","MIXUS",3,3,5,"556377"
7,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",4,6,95,"538772"
8,"spotify:track:34FhBswjcDbFzGx8zcPqoj","EM XINH ""SAY HI"", Lâm Bảo Ngọc, Quỳnh Anh Shyn, MAIQUINN, Saabirose, Quang Hùng MasterD","GÃ SĂN CÁ","Em Xinh Say Hi",3,15,6,"537979"
9,"spotify:track:3uT8QfoX0BE8ZJa4h98LDW","Puppy, Dangrangto","Wrong Times","MaiDao Music",3,10,92,"534748"
10,"spotify:track:6cc5PzJUddXskJGHJINw9F","SOOBIN","DANCING IN THE DARK","WDND",3,8,21,"518156"
11,"spotify:track:5WkuMbkHX7yR7nnBKCn7tV","RIO","vạn vật như muốn ta bên nhau","DAO Entertainment",6,40,17,"511148"
12,"spotify:track:7uulTURh3qtUEUnMNtgcA6","B Ray","Feel At Home","MIXUS",3,4,5,"495706"
13,"spotify:track:1cVc6XetpYuJRm4R1MhSW7","W/N, 267","Text 07 (W/N ft. 267)","Universal Music Indochina Distributed Labels",13,-1,1,"487365"
14,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Da LAB, Muộii (Starry Night)","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",3,11,192,"482605"
15,"spotify:track:3P3rcI48wwVEgxF5vPM6pG","Sơn Tùng M-TP","Buông Đôi Tay Nhau Ra","Universal Music Indochina Distributed Labels",15,21,108,"481704"
16,"spotify:track:1o6cYDMHvKOfizi4d9Lqxr","W/N","id 072019","Universal Music Indochina Distributed Labels",3,30,106,"468903"
